"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T008_S004",0.000497416642598119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T008_S005",0.00279730004385824,0,5.34856604944214e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T008_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T008_S007",5.34856604944214e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34856604944214e-06,0,0,0,0,0,0,0,0,0,0,0,0.000160456981483264,0
"E02_T008_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T008_S009",0,3.20913962966529e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178107249446423,0
"E02_T009_S001",0.564722050292164,0,0.00132182159604712,0,0.150635208711434,0,0,0.0203833282628537,0.0139001080536702,0,0,0,0,0,0,0,0,0,0.0725743000115397,0,0,0.000125887771052107,0.0619997272431627,0,0,0.0375984809542293,0,0,0,0.0124419080389832,0,0.0217680937444268,0,0.0017624287947295,0,0,0,0,0,0,0,0.0407666565257073,0
"E02_T009_S002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T009_S003",0.00220303599341187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T009_S004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T009_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T009_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T009_S007",0.00482569789033077,0,1.04906475876756e-05,0,2.09812951753512e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T009_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T009_S009",0.00307375974318895,0,1.04906475876756e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T010_S001",0.440690111037666,0,0.00118036538557677,0.00773486493842659,0.186197779246677,0,0,0.0112176371584578,0,0,0.0351887751417827,0,0,0.00143032511428714,0,0,0,0.0178665659421538,9.99838914841498e-05,0,0,0.0911630903909926,0.0252681512422999,0,0.0228657605163613,0.0469785423459554,0,0,0,0,0.023337906670592,0,0,0,0,0,0,0,0,0,0,0.088780140977287,0
"E02_T010_S002",0.000124979864355187,0,0,0,4.16599547850624e-05,0,0,2.77733031900416e-06,0,0,1.38866515950208e-05,0,0,0,0,0,0,0,0,0,0,3.33279638280499e-05,5.55466063800832e-06,0,5.55466063800832e-06,8.33199095701248e-06,0,0,0,0,2.77733031900416e-06,0,0,0,0,0,0,0,0,0,0,2.22186425520333e-05,0
"E02_T010_S003",0.000144421176588216,0,0,5.55466063800832e-06,5.83239366990874e-05,0,0,8.33199095701248e-06,0,0,1.38866515950208e-05,0,0,0,0,0,0,5.55466063800832e-06,0,0,0,2.49959728710374e-05,5.55466063800832e-06,0,8.33199095701248e-06,1.6663981914025e-05,0,0,0,0,5.55466063800832e-06,0,0,0,0,0,0,0,0,0,0,2.77733031900416e-05,0
"E02_T010_S004",0.000302729004771453,0,0,2.77733031900416e-06,0.000149975837226225,0,0,1.11093212760166e-05,0,0,1.94413122330291e-05,0,0,2.77733031900416e-06,0,0,0,5.55466063800832e-06,0,0,0,5.2769276061079e-05,1.6663981914025e-05,0,2.22186425520333e-05,5.2769276061079e-05,0,0,0,0,2.49959728710374e-05,0,0,0,0,0,0,0,0,0,0,5.83239366990874e-05,0
"E02_T010_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T010_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T010_S007",0.000386048914341578,0,5.55466063800832e-06,1.38866515950208e-05,0.000174971810097262,0,0,5.55466063800832e-06,0,0,2.49959728710374e-05,0,0,0,0,0,0,1.6663981914025e-05,0,0,0,8.88745702081331e-05,1.11093212760166e-05,0,1.6663981914025e-05,4.44372851040666e-05,0,0,0,0,3.61052941470541e-05,0,0,0,0,0,0,0,0,0,0,7.77652489321165e-05,0
"E02_T010_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T010_S009",2.77733031900416e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T011_S001",0.466053776196125,0,0.00116152629497825,0,0.155676650850138,0,0,0,0,0.0125247133254251,0,0.00881277184657967,0,0.00890421115065243,0.0247528667457493,0,0,0,0.0797375444839858,0.0123566627125346,0,0.0619414788453934,0.0521525306445235,0,0,0.0422128311585607,0.00634143930407276,0,0.0119859628311586,0.00765865954922894,0,0,0,0,0,0,0,0,0,0,0,0.0450647489126137,0.00266162514827995
"E02_T011_S002",0.000135923289837881,0,0,0,3.45986555950969e-05,0,0,0,0,9.88533017002768e-06,0,2.47133254250692e-06,0,4.94266508501384e-06,1.72993277975484e-05,6.1783313562673e-05,0,0,1.97706603400554e-05,4.94266508501384e-06,0,2.22419928825623e-05,2.47133254250692e-05,0,0,7.41399762752076e-06,2.47133254250692e-06,0,7.41399762752076e-06,2.47133254250692e-06,0,0,0,0,0,0,0,0,0,0,0,4.94266508501384e-06,0
"E02_T011_S003",0.000158165282720443,0,2.47133254250692e-06,0,4.94266508501384e-05,0,0,0,0,7.41399762752076e-06,0,2.47133254250692e-06,0,2.47133254250692e-06,1.23566627125346e-05,0,0,0,3.70699881376038e-05,7.41399762752076e-06,0,2.47133254250692e-05,2.22419928825623e-05,0,0,9.88533017002768e-06,2.47133254250692e-06,0,0,7.41399762752076e-06,0,0,0,0,0,0,0,0,0,0,0,1.72993277975484e-05,2.47133254250692e-06
