"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T007_S009",0,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"E02_T008_S001",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA
"E02_T008_S002",0.00245671502105756,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0.000145964092833163,NA
"E02_T008_S003",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0.00204349729966428,NA
"E02_T008_S004",0.000989067086399796,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA
"E02_T008_S005",0.00556217296975369,NA,0.0043859649122807,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA
"E02_T008_S006",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA
"E02_T008_S007",1.06351299612881e-05,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0.000720980533525595,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0.00437892278499489,NA
"E02_T008_S008",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA
"E02_T008_S009",0,Inf,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0.0486060429134433,NA
