"query","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","infraclass","cohort","subcohort","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"OTU00041","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Mugiliformes","","","","Mugilidae","","","Mugil","","Mugil cephalus",""
"OTU00042","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Mugiliformes","","","","Mugilidae","","","Mugil","","Mugil cephalus",""
"OTU00043","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Characiphysae","Siluriformes","Siluroidei","","","Siluridae","","","Silurus","","",""
"OTU00044","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Characiphysae","Siluriformes","Siluroidei","","","Plotosidae","","","Plotosus","","Plotosus japonicus",""
"OTU00045","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","","","","","","","","","","","","","",""
"OTU00046","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish09",""
"OTU00047","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish05",""
"OTU00048","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish08",""
"OTU00049","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish04",""
"OTU00050","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","","","","","","",""
